NOM,ADDRESS,ADRESS2,CPO,CITY,PHONE1,PHONE2,EMAIL,URL,TYPE
Agence BA marketing,9 lot Anse du Mahury,Impasse Avecinnia,97354,Remire-Montjoly,0694 92 29 20,,beatrice.nollet@bamarketing.fr,https://bamarketing.fr/,Marketing
Agence Web Guyane,494 route Montabo,,97300,Cayenne,0694 20 09 11,,,,Web
Agence Web Kbatis,Avenue Général de Gaulle,,97300,Cayenne,0768 42 32 00,,,,Web
Alaisenet,3 bis route Montabo,Lotissement De Ho Kong Ciat,97300,Cayenne,0783 12 29 67,,alaisenet@gmail.com,https://alaisenet.fr/,Web
Bitwip,1 place Schoelcher,,97300,Cayenne,0980 80 82 42,,,https://bitwip.fr/,Marketing
C2i Guyane SARL,13 r Rouget de Lisle,,97300,Cayenne,0594 38 53 85,,contact@digitom.fr,https://www.c2i-outremer.com/,Web
Comimpex,25 rue Jean-Elie Euloge,,97354,Remire-Montjoly,0594 29 46 32,,,,Web
Côté cube,1 Rue Rouget de l'Isle,,97300,Cayenne,0594 10 82 20,,info@cote-cube.fr,https://www.cote-cube.fr/,Web
Couleurwest-it,3910 avenue Christophe Colomb,,97320,Saint-Laurent-du-Maroni,0694 94 98 42,,contact@couleurwest-it.fr,https://couleurwest-it.com/,Web
DEV.COM,8 rue Breguet,Z.I. Pariacabo,97310,Kourou,0594 32 01 56 ,,,https://www.devcom-guyane.fr/,Web
E-com,2 rue Louis Blanc,,97300,Cayenne,0694 21 90 94,,ecomcguyane@gmail.com,https://ecom973.com/,Web
Galwebdesign,51 rue René Jadfard,,97300,Cayenne,0694 91 91 85,,,http://galwebdesign.net,Web
IMT Concept,7 impassable d'Abreu,,97300,Cayenne,0630 57 30 12,,,,Web
Isona,721 Route départemental N5,,97356,Montsinéry Tonnegrande,0690 30 80 80,,,,Web
Kasim Conseil,17 avenue Mozart,,97310,Kourou,0694 91 73 37,,kasim_conseil@presidency.com,https://www.kasimconseil.fr/,Web
L'art communique,34 rue Louis Blanc,,97300,Cayenne,0782 71 57 55,,hello@lartcommunique.com,https://lartcommunique.com/,Marketing
Le Service,182 rue Jules Patient,Cite Zephir Ens,97300,Cayenne,0594 30 93 20,,,,Web
N.O.V.I. (Network Of Visual Information),20 lot Artisanal Galmot,,97300,Cayenne,0694 49 42 43,,contact@novi-connected.fr,https://novi-connected.fr/,Marketing
Netactions,Bat. EUROPA E14,Les Jardins de la Madeleine,97300,Cayenne,0594 28 62 92,,,https://netactions.net/,Web
Nuage Com,1 Rue Rouget de l'Isle,,97300,Cayenne,0694 91 10 03,0694 27 59 03,contact@nuagecom.com,https://nuagecom.com/,Marketing
Orphose.studio,14 rue Alphone Bocs,,97351,Matouri,,,start@orphose.studio,https://www.orphose.studio/,Marketing
Priv studio,55 avenue Voltaire,,97300,Cayenne,,,hello@priv.studio,,Marketing
Publirama Studio,84 Ter rue Victor Schoelcher,,97300,Cayenne,0594 30 25 82,,,http://www.publiramastudio.com,Web
Solocal Outre-mer,Centre Plazza Marengo,,97300,Cayenne,0590 78 73 80,,,https://agence.solocal.com/8-solocal-outre-mer,Marketing
Waltacom,15 rue Eugène Tècle,Cité Thémire,97300,Cayenne,0694 99 08 29,,contact@waltacom.fr,https://waltacom.fr/,Marketing
Web2Web,Rue J. Jauré,,97300,Cayenne,06 90 47 79 55,,guyane@web2web.fr,https://web2web.fr/,Web
Yanacom,17 rue Vermont Polycarpe,,97300,Cayenne,0594 29 89 46,,contact@yanacomguyane.fr,https://yanacomguyane.fr/,Marketing
